Date,AXP,BBY,CAG,EMR,HSY,INCY,MCK,MNST,TGT,WBA,SP500
2013-11-19,82.459999,38.779999,25.338520000000003,67.360001,96.43,45.919998,159.21000700000002,19.02,66.629997,58.59,"1,787.87"
2013-11-20,82.25,38.709998999999996,25.112841,67.089996,94.970001,46.830002,158.389999,18.950001,66.489998,59.400002,"1,781.37"
2013-11-21,83.949997,39.07,25.042803,67.720001,95.760002,47.939999,160.899994,19.046667000000003,64.190002,60.25,"1,795.85"
2013-11-22,83.849998,39.369999,25.431908,68.0,96.290001,48.52,163.610001,19.106667,63.700001,60.5,"1,804.76"
2013-11-25,84.589996,39.73,25.385214,67.0,95.989998,47.689999,165.139999,19.073334,63.759997999999996,59.889998999999996,"1,802.48"
2013-11-26,85.089996,39.619999,25.252917999999998,67.239998,96.91999799999999,47.52,164.350006,19.6,63.869999,59.540001000000004,"1,802.75"
2013-11-27,85.589996,39.610001000000004,25.533073,67.519997,97.720001,46.709998999999996,165.5,19.950001,64.410004,59.209998999999996,"1,807.23"
2013-11-29,85.800003,40.549999,25.673153,66.989998,96.889999,46.599998,165.889999,19.726667000000003,63.93,59.200001,"1,805.81"
2013-12-02,85.290001,41.080002,25.595330999999998,66.760002,96.489998,47.240002000000004,164.669998,19.836666,62.73,59.099998,"1,800.90"
2013-12-03,84.610001,42.0,25.634241,66.699997,97.050003,45.849998,163.869995,20.423332000000002,62.82,58.709998999999996,"1,795.15"
2013-12-04,84.5,42.799999,25.587549,66.459999,96.739998,46.139998999999996,162.740005,20.83,63.310001,57.57,"1,792.81"
2013-12-05,84.540001,41.599998,25.400778,66.449997,95.790001,46.549999,159.979996,20.763332000000002,62.630001,56.110001000000004,"1,785.03"
2013-12-06,85.93,41.049999,25.735409,67.18,97.160004,46.59,162.809998,21.016666,63.380001,56.709998999999996,"1,805.09"
2013-12-09,85.75,41.360001000000004,25.774319000000002,67.639999,96.970001,46.150002,163.029999,21.036667,63.240002000000004,56.66,"1,808.37"
2013-12-10,85.290001,41.540001000000004,25.29961,67.540001,95.559998,47.82,159.940002,21.09,63.16,56.599998,"1,802.62"
2013-12-11,83.900002,40.509997999999996,25.307392,66.400002,95.769997,47.57,158.33999599999999,20.896667,62.93,57.68,"1,782.22"
2013-12-12,83.300003,40.23,25.019454999999997,66.610001,94.959999,48.5,156.75,20.530001000000002,62.889998999999996,57.549999,"1,775.50"
2013-12-13,83.68,40.509997999999996,24.645914,66.199997,94.839996,48.889998999999996,157.389999,20.486667999999998,62.360001000000004,57.009997999999996,"1,775.32"
2013-12-16,84.519997,41.73,24.723736,66.889999,94.809998,49.650002,157.46000700000002,21.200001,62.169998,56.880001,"1,786.54"
2013-12-17,84.110001,41.220001,24.498054999999997,66.459999,94.110001,47.540001000000004,158.419998,21.129998999999998,61.650002,56.25,"1,781.00"
2013-12-18,85.989998,41.959998999999996,24.7393,67.949997,95.800003,49.110001000000004,161.029999,21.719998999999998,63.549999,57.34,"1,810.65"
2013-12-19,86.410004,41.349998,26.046694,68.660004,96.260002,50.110001000000004,160.58999599999999,22.08,62.150002,56.939999,"1,809.60"
2013-12-20,87.57,39.66,26.101167999999998,69.339996,96.300003,51.34,161.5,22.08,62.490002000000004,59.040001000000004,"1,818.32"
