Date,Open,High,Low,Close*,Adj Close**,Volume
30-Aug-18,"8,094.20","8,133.30","8,069.57","8,088.36","8,088.36","2,014,450,000"
29-Aug-18,"8,044.34","8,113.56","8,042.10","8,109.69","8,109.69","1,897,000,000"
28-Aug-18,"8,039.01","8,046.31","8,009.59","8,030.04","8,030.04","1,961,300,000"
27-Aug-18,"7,989.64","8,024.94","7,976.60","8,017.90","8,017.90","2,319,130,000"
24-Aug-18,"7,907.81","7,949.71","7,907.10","7,945.98","7,945.98","1,886,600,000"
23-Aug-18,"7,886.47","7,926.32","7,866.53","7,878.46","7,878.46","1,879,890,000"
22-Aug-18,"7,844.04","7,897.63","7,840.84","7,889.10","7,889.10","1,660,460,000"
21-Aug-18,"7,840.09","7,897.68","7,836.79","7,859.17","7,859.17","1,766,630,000"
20-Aug-18,"7,834.37","7,837.14","7,787.90","7,821.01","7,821.01","1,698,970,000"
17-Aug-18,"7,786.64","7,830.78","7,752.68","7,816.33","7,816.33","1,843,150,000"
16-Aug-18,"7,826.95","7,849.67","7,795.74","7,806.52","7,806.52","1,979,540,000"
15-Aug-18,"7,810.02","7,832.66","7,732.69","7,774.12","7,774.12","2,286,960,000"
14-Aug-18,"7,847.88","7,878.23","7,815.50","7,870.89","7,870.89","1,917,360,000"
13-Aug-18,"7,848.00","7,888.66","7,814.27","7,819.71","7,819.71","1,914,240,000"
10-Aug-18,"7,834.71","7,866.19","7,818.37","7,839.11","7,839.11","2,095,180,000"
9-Aug-18,"7,886.52","7,923.35","7,881.06","7,891.78","7,891.78","2,032,950,000"
8-Aug-18,"7,880.00","7,901.69","7,864.46","7,888.33","7,888.33","2,087,850,000"
7-Aug-18,"7,878.62","7,898.20","7,868.65","7,883.66","7,883.66","2,197,590,000"
6-Aug-18,"7,809.54","7,859.68","7,801.88","7,859.68","7,859.68","2,238,170,000"
3-Aug-18,"7,819.23","7,824.06","7,783.30","7,812.01","7,812.01","2,018,700,000"
2-Aug-18,"7,659.52","7,808.85","7,659.52","7,802.69","7,802.69","2,081,300,000"
1-Aug-18,"7,701.82","7,732.68","7,670.71","7,707.29","7,707.29","2,223,550,000"
31-Jul-18,"7,654.59","7,709.49","7,614.84","7,671.79","7,671.79","2,195,050,000"
30-Jul-18,"7,735.27","7,740.26","7,604.24","7,630.00","7,630.00","2,143,410,000"
27-Jul-18,"7,889.75","7,889.75","7,698.96","7,737.42","7,737.42","2,176,170,000"
26-Jul-18,"7,848.04","7,881.30","7,834.08","7,852.18","7,852.18","2,263,070,000"
25-Jul-18,"7,839.09","7,933.31","7,838.76","7,932.24","7,932.24","1,902,790,000"
24-Jul-18,"7,914.35","7,928.79","7,814.33","7,840.77","7,840.77","2,014,850,000"
23-Jul-18,"7,806.93","7,846.76","7,776.55","7,841.87","7,841.87","1,654,290,000"
20-Jul-18,"7,843.08","7,860.25","7,815.86","7,820.20","7,820.20","1,786,250,000"
19-Jul-18,"7,829.80","7,849.85","7,811.15","7,825.30","7,825.30","1,853,030,000"
18-Jul-18,"7,859.43","7,863.77","7,822.83","7,854.44","7,854.44","1,857,670,000"
17-Jul-18,"7,751.97","7,867.15","7,749.61","7,855.12","7,855.12","1,740,680,000"
16-Jul-18,"7,831.74","7,838.82","7,791.98","7,805.72","7,805.72","1,730,190,000"
13-Jul-18,"7,827.62","7,843.52","7,803.34","7,825.98","7,825.98","1,714,140,000"
12-Jul-18,"7,752.71","7,825.67","7,746.76","7,823.92","7,823.92","1,926,110,000"
11-Jul-18,"7,698.51","7,748.16","7,696.58","7,716.61","7,716.61","1,761,420,000"
10-Jul-18,"7,770.63","7,777.48","7,731.98","7,759.20","7,759.20","1,725,210,000"
9-Jul-18,"7,731.74","7,757.28","7,702.06","7,756.20","7,756.20","1,837,330,000"
6-Jul-18,"7,595.93","7,695.81","7,588.65","7,688.39","7,688.39","1,704,580,000"
5-Jul-18,"7,550.66","7,589.19","7,511.43","7,586.43","7,586.43","1,745,030,000"
3-Jul-18,"7,593.63","7,594.33","7,498.50","7,502.67","7,502.67","1,179,310,000"
2-Jul-18,"7,451.90","7,568.10","7,443.10","7,567.69","7,567.69","1,767,910,000"
29-Jun-18,"7,544.13","7,573.59","7,502.95","7,510.30","7,510.30","2,192,010,000"
28-Jun-18,"7,438.11","7,526.07","7,419.56","7,503.68","7,503.68","2,195,400,000"
27-Jun-18,"7,586.33","7,610.67","7,444.17","7,445.08","7,445.08","2,306,430,000"
